category,config_name,throughput_tps,throughput_std,speedup,ttft_ms,ttft_std,tpot_ms,tpot_std,acceptance_rate,acceptance_std,avg_path_length,path_length_std,total_rounds,tokens_per_round,high_conf_ratio,medium_conf_ratio,low_conf_ratio,peak_memory_mb,high_conf_threshold,low_conf_threshold,min_branch,max_branch,base_depth,max_depth
baseline,Baseline (AR),113.89814544360426,17.939429989825012,1.0,14.980815909802914,6.693815793460347,9.039905529717604,1.7234016975882969,0.0,0.0,0.0,0.0,1500,1.0,0.0,0.0,0.0,6008.7529296875,,,,,,
baseline,"Fixed Tree (D=5, B=2)",168.73598458851643,29.814116221016718,1.4814638458890859,20.648436434566975,13.804309898282808,6.128354117025932,1.2250745337221736,0.8337965536409117,0.0,5.836575875486381,0.0,257,5.836575875486381,0.0,0.0,0.0,6185.0673828125,,,,,,
threshold,thresh_h0.7_l0.5,208.3308372419821,30.705480457783544,1.8290977120881693,13.156061246991158,2.4788538959397415,4.950069675532481,1.0857703195325845,1.0641128917344098,0.011858524011768786,7.448790242140869,0.08300966808238153,201,7.462686567164179,0.9241192081685323,0.009715203315769142,0.06616558851569837,6183.38720703125,0.7,0.5,1,3,5,8
threshold,thresh_h0.8_l0.6,220.63262869020264,12.228679719576258,1.9371046633893356,12.359362654387951,0.35134375996231193,4.540443905753394,0.2933229109322622,1.038835970329149,0.08216440050490083,7.2718517923040435,0.5751508035343058,207,7.246376811594203,0.8833660280649844,0.022782871513000347,0.09385110042201526,6183.38720703125,0.8,0.6,1,3,5,8
threshold,thresh_h0.9_l0.7,221.07944644699379,19.845774113261978,1.9410276224072451,12.608382292091846,0.33217776207510685,4.562895152842005,0.5355590726699968,1.0291264561664786,0.13964283585718254,7.203885193165351,0.9774998510002779,214,7.009345794392523,0.8593778614850123,0.018404154384776106,0.1222179841302117,6183.822265625,0.9,0.7,1,3,5,8
threshold,thresh_h0.7_l0.4,208.4175095633347,34.21064064859245,1.829858675499953,13.406236935406923,3.1396924876172476,4.970963558803002,1.1098090520222124,1.0635954433757562,0.012322737750567279,7.445168103630292,0.0862591642539711,201,7.462686567164179,0.9240278324261044,0.028641017525603395,0.047331150048292026,6182.40771484375,0.7,0.4,1,3,5,8
threshold,thresh_h0.8_l0.5,191.6233707843181,37.398046521953454,1.682409928958842,15.517382323741913,4.877070027796194,5.45713024083525,1.3043688059949672,1.038835970329149,0.08216440050490083,7.2718517923040435,0.5751508035343058,207,7.246376811594203,0.8833660280649844,0.034710821310545495,0.08192315062447011,6183.39697265625,0.8,0.5,1,3,5,8
threshold,thresh_h0.9_l0.6,189.59836694056375,35.91241647240994,1.6646308524350981,14.648101013153791,4.149866260021842,5.479002432400982,1.1497397413580468,1.0280496435318769,0.13929128310546432,7.19634750472314,0.9750389817382503,214,7.009345794392523,0.8578228471226771,0.029953042721762357,0.11222411015556055,6182.841796875,0.9,0.6,1,3,5,8
threshold,thresh_h0.7_l0.3,211.05508647093748,35.62198003229803,1.8530160052117766,13.540538027882576,3.3100422310614976,4.91959531083703,1.1296045029083215,1.0635954433757562,0.012322737750567279,7.445168103630292,0.0862591642539711,201,7.462686567164179,0.9240278324261044,0.039170075067818624,0.036802092506076814,6181.97216796875,0.7,0.3,1,3,5,8
threshold,thresh_h0.8_l0.4,212.17500514821683,32.35537364183493,1.8628486383325138,14.132130518555641,4.155062601888792,4.875619431150456,1.136738510543551,1.0383133987194193,0.0820394392729253,7.268193791035936,0.5742760749104772,208,7.211538461538462,0.8832891189524258,0.05408182836765522,0.06262905267991903,6183.04931640625,0.8,0.4,1,3,5,8
threshold,thresh_h0.9_l0.5,217.49784486513263,17.852827300000513,1.9095819692062055,12.305550463497639,0.29616735017573725,4.6283526989941794,0.4739462389867327,1.010642680746763,0.1356979305095535,7.074498765227341,0.9498855135668746,218,6.8807339449541285,0.8296842877885379,0.067628878167066,0.10268683404439609,6183.435546875,0.9,0.5,1,3,5,8
threshold,thresh_h0.8_l0.3,214.9329796082954,26.664758011606327,1.8870630313705827,14.299760665744543,5.6396266708069245,4.742837238808472,0.8089349815833826,1.0383133987194193,0.0820394392729253,7.268193791035936,0.5742760749104772,208,7.211538461538462,0.8832891189524258,0.07734844615863523,0.03936243488893901,6182.61328125,0.8,0.3,1,3,5,8
threshold,thresh_h0.9_l0.4,187.8469114560224,47.268172678466044,1.6492534687409224,15.811467543244362,4.72017003822217,5.811682660567263,2.0380322191384086,1.010642680746763,0.1356979305095535,7.074498765227341,0.9498855135668746,218,6.8807339449541285,0.8298598690636293,0.0901012579063198,0.08003887303005086,6182.8173828125,0.9,0.4,1,3,5,8
threshold,thresh_h0.95_l0.3,209.19823957154458,26.63748833145506,1.8367133086914693,16.717868205159903,12.039408548979127,4.867904001660645,0.7797542290351175,1.0140539741248111,0.1359310260592334,7.098377818873679,0.951517182414634,217,6.912442396313364,0.7813273079688632,0.15766287964963915,0.061009812381497684,6182.61767578125,0.95,0.3,1,3,5,8
threshold,thresh_h0.6_l0.2,199.34347017894697,34.73619389305591,1.7501906585270106,14.346708729863167,4.270913519387255,5.202418193531534,1.1264031168559836,1.0120120979668166,0.016625967577591202,7.084084685767716,0.11638177304313872,211,7.109004739336493,0.9108948721020196,0.05137326715321496,0.037731860744765304,6183.29296875,0.6,0.2,1,3,5,8
branch,branch_1_2,217.90279943875754,2.364066344199349,1.9131373789281787,25.623616948723793,39.81121159936677,4.572658834482233,0.06103637964237841,1.004971784627299,0.0186874368858985,7.0348024923910915,0.13081205820128952,213,7.042253521126761,0.8767975568676327,0.056191763085407784,0.06701068004695938,6183.39990234375,0.8,0.4,1,2,5,8
branch,branch_1_3,222.49032387455676,10.591993197666815,1.9534148076600688,12.177865114063025,0.2602606350191798,4.49804012036572,0.24331149095201812,1.0383133987194193,0.0820394392729253,7.268193791035936,0.5742760749104772,208,7.211538461538462,0.8832891189524258,0.05408182836765522,0.06262905267991903,6183.04931640625,0.8,0.4,1,3,5,8
branch,branch_1_4,223.1455126872135,10.42617237326238,1.9591672175005008,12.330357730388641,0.27075725810556484,4.4842757433032,0.23798529477885233,1.0437003092563517,0.08187886995059972,7.305902164794462,0.5731520896541981,206,7.281553398058253,0.8850020167900858,0.05356745069510556,0.06143053251480861,6182.6181640625,0.8,0.4,1,4,5,8
branch,branch_1_5,194.89148833535893,40.471572578567724,1.7111032631506529,12.062158808112144,0.4171506658603808,5.376675824758907,1.2216536618957892,0.898422064750665,0.2544665837754471,6.288954453254656,1.7812660864281296,266,5.639097744360902,0.7858668885001711,0.04576903874987113,0.16836407274995785,6183.1396484375,0.8,0.4,1,5,5,8
branch,branch_2_3,204.71414488197212,32.16504787122327,1.7973439697781088,13.110942021012306,1.9221832905156269,5.051931138336657,1.1276256543053222,1.0112738751273036,0.13634082329307082,7.0789171258911265,0.9543857630514959,217,6.912442396313364,0.871450206970388,0.04879455433709636,0.07975523869251573,6188.9111328125,0.8,0.4,2,3,5,8
branch,branch_2_4,216.46715589917758,17.48707440682124,1.9005327528037717,18.382715340703726,16.96648617236726,4.645263800149163,0.4698992737326384,1.0165087010249871,0.13638574345571947,7.1155609071749115,0.9547002041900361,216,6.944444444444445,0.8733559173029912,0.04821091023900985,0.0784331724579989,6188.14892578125,0.8,0.4,2,4,5,8
branch,branch_2_5,168.9864066311419,31.52679376332166,1.4836624948806927,12.114804424345493,0.37801734601565684,6.093296319246291,0.9856705753682388,0.6705493106841306,0.23285672782285124,4.693845174788914,1.6299970947599582,352,4.261363636363637,0.622586180108823,0.055354748624525274,0.3220590712666518,6184.3935546875,0.8,0.4,2,5,5,8
branch,branch_3_5,173.67641114919104,34.191687628603475,1.52483967559582,12.491933535784483,0.3836479590419819,5.963725980930031,1.0883440668551048,0.7138160586874196,0.24940498667441638,4.996712410811936,1.7458349067209147,336,4.464285714285714,0.6635483514057313,0.04896061955945319,0.2874910290348155,6185.3408203125,0.8,0.4,3,5,5,8
depth,depth_4_6,198.2739520535801,18.794123714684883,1.740800530872154,12.540327198803425,0.24362553888986016,5.087876322989662,0.5566104448076535,0.9474590661391739,0.14006400183657744,5.684754396835044,0.8403840110194648,271,5.535055350553505,0.8302758952942686,0.05136250136557372,0.11836160334015777,6182.79638671875,0.8,0.4,1,3,4,6
depth,depth_5_7,209.37150795519787,1.9558080980504484,1.8382345659777795,12.627528142184019,0.4187085966458374,4.768197654808561,0.04457043621817542,0.9220700042376112,0.0036603081106029575,6.454490029663281,0.025622156774220414,232,6.4655172413793105,0.9115686023512259,0.03998141846763731,0.04844997918113671,6184.302734375,0.8,0.4,1,3,5,7
depth,depth_5_8,225.83441071772214,10.785666732945236,1.9827751350836718,12.252519465982914,0.8502699201193132,4.431391851355632,0.24176818342540632,1.0383133987194193,0.0820394392729253,7.268193791035936,0.5742760749104772,208,7.211538461538462,0.8832891189524258,0.05408182836765522,0.06262905267991903,6183.04931640625,0.8,0.4,1,3,5,8
depth,depth_6_8,221.32628306174698,14.54442885088694,1.943194792151685,12.556399684399366,0.6862673215859363,4.53140389205267,0.32794056654295195,0.8840158922664519,0.09598186714156337,7.0721271381316155,0.767854937132507,215,6.976744186046512,0.8518503322261385,0.07144250175811992,0.07670716601574167,6182.955078125,0.8,0.4,1,3,6,8
depth,depth_6_10,198.3153601495936,40.04232139988473,1.7411640846056429,13.449299894273281,2.940456070247036,5.290981640294194,1.2785769473703643,0.7410886061413813,0.22631017804612033,5.92870884913105,1.8104814243689626,287,5.2264808362369335,0.6445637380589364,0.17300179903944873,0.18243446290161472,6184.11669921875,0.8,0.4,1,3,6,10
depth,depth_7_10,203.14250055754135,28.938516410614838,1.7835452874702487,13.67352856323123,3.072390537725321,5.014300873751441,0.708679126217079,0.7027433609491016,0.19256256660201865,6.324690248541915,1.7330630994181682,256,5.859375,0.7228712095605625,0.07008342341585694,0.20704536702358056,6182.69384765625,0.8,0.4,1,3,7,10
depth,depth_8_12,256.03505406069905,3.2449674904907373,2.247929964649624,12.697717919945717,0.5858137925512913,3.89788289864858,0.04993252082077475,0.9730381005346469,0.016337107439468736,9.73038100534647,0.16337107439468715,154,9.74025974025974,0.9065468196611268,0.04531207611011371,0.048141104228759446,6184.7119140625,0.8,0.4,1,3,8,12
cross,cross_conservative,210.8199773613605,3.2491891975145677,1.8509518003148373,12.546163611114025,0.3475178781001484,4.736134276973704,0.07249003986237218,0.9219527055564203,0.01644399310638969,6.453668938894943,0.11510795174472788,232,6.4655172413793105,0.8287576490883735,0.06942889010822341,0.1018134608034031,6183.22216796875,0.9,0.6,1,2,5,7
cross,cross_balanced,225.01454075489625,10.33780456722419,1.975576861928014,12.059923354536295,0.2385108500344408,4.446787066012621,0.23226681010203531,1.0383133987194193,0.0820394392729253,7.268193791035936,0.5742760749104772,208,7.211538461538462,0.8832891189524258,0.05408182836765522,0.06262905267991903,6183.04931640625,0.8,0.4,1,3,5,8
cross,cross_aggressive,198.40290457420306,35.03704423433625,1.7419327048871103,12.562384735792875,0.2616377849277261,5.221039912601311,1.0735098472379827,0.7473400795034907,0.2108034952247491,5.9787206360279255,1.6864279617979927,278,5.39568345323741,0.7371129185944444,0.12093720911756815,0.14194987228798742,6186.0849609375,0.7,0.3,2,4,6,10
cross,cross_high_throughput,238.76607993694364,2.145562122142376,2.0963122709944977,12.798668164759874,0.27168541081116176,4.180009682538609,0.038213638068682824,1.0163447263503342,0.009241921342986613,8.130757810802674,0.0739353707438929,184,8.152173913043478,0.894174479971143,0.034704150805674856,0.07112136922318217,6182.37353515625,0.85,0.5,1,3,6,9
cross,cross_high_acceptance,209.49115767081815,14.38468002217112,1.8392850634652869,12.743618711829185,0.12721185414740688,4.79234655269732,0.39900110240381437,0.9932966527772089,0.12602140514351653,6.953076569440462,0.8821498360046157,221,6.787330316742081,0.876480093562213,0.056299639186094264,0.0672202672516927,6184.93798828125,0.75,0.35,2,4,5,8
